2023-02-24 13:05:57,233 p=29738 u=rob n=ansible | PLAY [Automatic VyOS Lab test] **********************************************************************************************************************************
2023-02-24 13:05:57,277 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: fail if node_template_iso is empty] ***************************************************************************
2023-02-24 13:05:57,295 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:05:57,300 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:05:57,311 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:05:57,312 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:05:57,316 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:05:57,320 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: fail if node_template_version is empty] ***********************************************************************
2023-02-24 13:05:57,335 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:05:57,342 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:05:57,351 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:05:57,353 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:05:57,358 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:05:57,362 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: install requirements] *****************************************************************************************
2023-02-24 13:05:57,386 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:05:57,391 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:05:57,393 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:05:57,398 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:05:58,767 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:05:58,779 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: Login to EVE-NG and get Cookie] *******************************************************************************
2023-02-24 13:05:58,813 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:05:58,822 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
