2023-02-24 12:57:19,631 p=28216 u=rob n=ansible | PLAY [Automatic VyOS Lab test] **********************************************************************************************************************************
2023-02-24 12:57:19,674 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: fail if node_template_iso is empty] **************************************************************************************
2023-02-24 12:57:19,690 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:19,700 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:19,705 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:19,708 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:19,712 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:19,716 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: fail if node_template_version is empty] **********************************************************************************
2023-02-24 12:57:19,738 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:19,746 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:19,746 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:19,748 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:19,752 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:19,756 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: install requirements] ****************************************************************************************************
2023-02-24 12:57:19,777 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:19,784 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:19,786 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:19,791 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:21,679 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:57:21,688 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: Login to EVE-NG and get Cookie] ******************************************************************************************
2023-02-24 12:57:21,718 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:21,726 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:21,729 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:21,734 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:22,408 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:57:22,413 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: get template facts] ******************************************************************************************************
2023-02-24 12:57:22,436 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:22,444 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:22,447 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:22,452 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:22,821 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:57:22,827 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: Register path status] ****************************************************************************************************
2023-02-24 12:57:22,850 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:22,858 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:22,860 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:22,865 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,054 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:57:23,058 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: create path] *************************************************************************************************************
2023-02-24 12:57:23,075 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,083 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,091 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,094 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,098 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,101 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: Upload iso to eve-ng] ****************************************************************************************************
2023-02-24 12:57:23,121 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,128 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,148 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,148 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,148 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,151 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: create virtioa.qcow2 file] ***********************************************************************************************
2023-02-24 12:57:23,173 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,181 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,183 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,183 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,187 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,191 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: Login to EVE-NG and get Cookie] ******************************************************************************************
2023-02-24 12:57:23,204 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,212 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,219 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,221 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,225 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,228 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: create lab for node install] *********************************************************************************************
2023-02-24 12:57:23,241 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,249 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,256 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,258 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,263 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,266 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: open lab] ****************************************************************************************************************
