2024-01-13 13:34:01,981 p=3127 u=rob n=ansible | PLAY [Automatic VyOS Lab test] *******************************************************************************************
2024-01-13 13:34:01,999 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: fail if node_template_iso is empty] *********************************************
2024-01-13 13:34:02,011 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:02,012 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:02,012 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:02,015 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:02,016 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: fail if node_template_version is empty] *****************************************
2024-01-13 13:34:02,027 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:02,027 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:02,028 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:02,031 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:02,033 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: install requirements] ***********************************************************
2024-01-13 13:34:02,044 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:02,046 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:02,049 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:04,434 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:34:04,440 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: Login to EVE-NG and get Cookie] *************************************************
2024-01-13 13:34:04,467 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:04,468 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:04,471 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:05,222 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:34:05,227 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: get template facts] *************************************************************
2024-01-13 13:34:05,247 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:05,249 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:05,253 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:05,690 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:34:05,693 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: Register path status] ***********************************************************
2024-01-13 13:34:05,704 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:05,706 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:05,709 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:05,904 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:34:05,906 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: create path] ********************************************************************
2024-01-13 13:34:05,923 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:05,925 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:05,928 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:05,933 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:05,936 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: Upload iso to eve-ng] ***********************************************************
2024-01-13 13:34:05,961 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:05,962 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:05,964 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:05,970 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:05,974 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: create virtioa.qcow2 file] ******************************************************
2024-01-13 13:34:05,998 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:05,999 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,001 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,007 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,011 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: Login to EVE-NG and get Cookie] *************************************************
2024-01-13 13:34:06,035 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,036 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,038 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,046 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,048 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: create lab for node install] ****************************************************
2024-01-13 13:34:06,074 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,075 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,076 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,082 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,084 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: open lab] ***********************************************************************
2024-01-13 13:34:06,111 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,112 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,115 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,120 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,123 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : set_fact] *************************************************************************************
2024-01-13 13:34:06,147 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,148 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,151 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,156 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,158 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: add node to lab] ****************************************************************
2024-01-13 13:34:06,182 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,183 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,187 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,190 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,192 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: start node] *********************************************************************
2024-01-13 13:34:06,222 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,223 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,225 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,231 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,234 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : debug] ****************************************************************************************
2024-01-13 13:34:06,251 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,259 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
